  0.00000E+00  0.15916E-01 -0.00000E+00  0.22534E-01 -0.00000E+00  0.90019E-02 -0.00000E+00
  0.50000E-01  0.14868E-01 -0.00000E+00  0.20781E-01 -0.00000E+00  0.83899E-02 -0.00000E+00
  0.10000E+00  0.11966E-01 -0.00000E+00  0.15939E-01 -0.00000E+00  0.66555E-02 -0.00000E+00
  0.15000E+00  0.78840E-02 -0.00000E+00  0.91694E-02 -0.00000E+00  0.40933E-02 -0.00000E+00
  0.20000E+00  0.35896E-02 -0.00000E+00  0.21223E-02 -0.00000E+00  0.11603E-02 -0.00000E+00
  0.25000E+00  0.14233E-03 -0.00000E+00 -0.34281E-02 -0.00000E+00 -0.15790E-02 -0.00000E+00
  0.30000E+00 -0.15210E-02 -0.00000E+00 -0.59678E-02 -0.00000E+00 -0.35303E-02 -0.00000E+00
  0.35000E+00 -0.77087E-03 -0.00000E+00 -0.45621E-02 -0.00000E+00 -0.41632E-02 -0.00000E+00
  0.40000E+00  0.25882E-02 -0.00000E+00  0.94378E-03 -0.00000E+00 -0.31154E-02 -0.00000E+00
  0.45000E+00  0.82953E-02 -0.00000E+00  0.99130E-02 -0.00000E+00 -0.27736E-03 -0.00000E+00
  0.50000E+00  0.15697E-01 -0.00000E+00  0.21065E-01 -0.00000E+00  0.41563E-02 -0.00000E+00
  0.55000E+00  0.23890E-01  0.42559E-01  0.32756E-01  0.66469E-01  0.96897E-02  0.62823E-01
  0.60000E+00  0.31906E-01  0.45376E-01  0.43321E-01  0.50521E-01  0.15593E-01 -0.19166E-01
  0.65000E+00  0.38900E-01  0.42803E-01  0.51402E-01  0.44039E-01  0.21024E-01 -0.27450E-01
  0.70000E+00  0.44300E-01  0.37048E-01  0.56193E-01  0.43678E-01  0.25191E-01  0.27783E-02
  0.75000E+00  0.47894E-01  0.39875E-01  0.57544E-01  0.54131E-01  0.27511E-01  0.40254E-01
  0.80000E+00  0.49833E-01  0.40715E-01  0.55940E-01  0.56059E-01  0.27744E-01  0.61157E-01
  0.85000E+00  0.50553E-01  0.52970E-01  0.52320E-01  0.60098E-01  0.26036E-01  0.58768E-01
  0.90000E+00  0.50658E-01  0.61048E-01  0.47843E-01  0.55866E-01  0.22909E-01  0.36906E-01
  0.95000E+00  0.50759E-01  0.58218E-01  0.43616E-01  0.50584E-01  0.19134E-01  0.10459E-01
  0.10000E+01  0.51336E-01  0.50109E-01  0.40473E-01  0.36407E-01  0.15574E-01 -0.98669E-02
  0.10500E+01  0.52637E-01  0.48024E-01  0.38830E-01  0.30613E-01  0.12984E-01 -0.14648E-01
  0.11000E+01  0.54634E-01  0.49001E-01  0.38655E-01  0.32330E-01  0.11859E-01 -0.49342E-02
  0.11500E+01  0.57039E-01  0.55308E-01  0.39533E-01  0.38600E-01  0.12329E-01  0.11855E-01
  0.12000E+01  0.59381E-01  0.60182E-01  0.40809E-01  0.42866E-01  0.14157E-01  0.27241E-01
  0.12500E+01  0.61114E-01  0.65487E-01  0.41776E-01  0.45839E-01  0.16814E-01  0.35264E-01
  0.13000E+01  0.61720E-01  0.63526E-01  0.41828E-01  0.44276E-01  0.19623E-01  0.35654E-01
  0.13500E+01  0.60819E-01  0.58409E-01  0.40594E-01  0.42625E-01  0.21934E-01  0.29769E-01
