10
// Default Element Data
// Element radii taken from:
//	"Covalent radii revisited", 
//	B_ Cordero, V. Gómez, A. E. Platero-Prats, M. Revés, J. Echeverría, E. Cremades, F. Barragán and S. Alvarez
//	Dalton Trans_, 2008 (DOI: 10.1039/b801115j)
//	Notes: High-Spin radii taken for 1st transition elements, sp3 value taken for Carbon_ Bk and beyond set to 1.50.
//
// Lutetium and Lawrencium are assigned to group 3, with Lanthanum and Actinium the first elements in the lanthanide and actinide series_
//
//  Z	Name         	Symbol	Radius  RGBA		
119
77	Iridium		Ir	1.41	1.0	1.0	1.0	1.0 	
78	Platinum	Pt	1.36	1.0	1.0	1.0	1.0 	
79	Gold		Au	1.36	0.784	0.647	0.094	1.0 
80	Mercury		Hg	1.32	1.0	1.0	1.0	1.0 	
81	Thallium	Tl	1.45	1.0	1.0	1.0	1.0 	
82	Lead		Pb	1.46	1.0	1.0	1.0	1.0 	
83	Bismuth		Bi	1.48	1.0	1.0	1.0	1.0 	
84	Polonium	Po	1.40	1.0	1.0	1.0	1.0 	
85	Astatine	At	1.50	1.0	1.0	1.0	1.0 	
86	Radon		Rn	1.50	1.0	1.0	1.0	1.0 	
87	Francium	Fr	2.60	1.0	1.0	1.0	1.0 	
88	Radium		Ra	2.21	1.0	1.0	1.0	1.0 	
89	Actinium	Ac	2.15	1.0	1.0	1.0	1.0 	
90	Thorium		Th	2.06	1.0	1.0	1.0	1.0 	
91	Protactinium	Pa	2.00	1.0	1.0	1.0	1.0 	
92	Uranium		U	1.96	1.0	1.0	1.0	1.0 	
93	Neptunium	Np	1.90	1.0	1.0	1.0	1.0 	
94	Plutonium	Pu	1.87	1.0	1.0	1.0	1.0 	
95	Americium	Am	1.80	1.0	1.0	1.0	1.0 	
96	Curium		Cm	1.69	1.0	1.0	1.0	1.0 	
97	Berkelium	Bk	1.50	1.0	1.0	1.0	1.0 	
98	Californium	Cf	1.50	1.0	1.0	1.0	1.0 	
99	Einsteinium	Es	1.50	1.0	1.0	1.0	1.0 	
100	Fermium		Fm	1.50	1.0	1.0	1.0	1.0 	
101	Mendelevium	Md	1.50	1.0	1.0	1.0	1.0 	
102	Nobelium	No	1.50	1.0	1.0	1.0	1.0 	
103	Lawrencium	Lr	1.50	1.0	1.0	1.0	1.0 	
104	Rutherfordium	Rf	1.50	1.0	1.0	1.0	1.0 	
105	Dubnium		Db	1.50	1.0	1.0	1.0	1.0 	
106	Seaborgium	Sg	1.50	1.0	1.0	1.0	1.0 	
107	Bohrium		Bh	1.50	1.0	1.0	1.0	1.0 	
108	Hassium		Hs	1.50	1.0	1.0	1.0	1.0 	
109	Meitnerium	Mt	1.50	1.0	1.0	1.0	1.0 	
110	Darmstadtium	Ds	1.50	1.0	1.0	1.0	1.0 	
111	Roentgenium	Rg	1.50	1.0	1.0	1.0	1.0 	
112	Ununium		Uub	1.50	1.0	1.0	1.0	1.0 	
113	Ununtrium	Uut	1.50	1.0	1.0	1.0	1.0 	
114	Ununquadium	Uuq	1.50	1.0	1.0	1.0	1.0 	
115	Ununpentium	Uup	1.50	1.0	1.0	1.0	1.0 	
116	Ununhexium	Uuh	1.50	1.0	1.0	1.0	1.0 	
117	Ununseptium	Uus	1.50	1.0	1.0	1.0	1.0 	
118	Ununoctium	Uuo	1.50	1.0	1.0	1.0	1.0 	
