# ******  stream =   1    start =       0.300    end =     100.000 npt=  1995
# ****** L1 = 11.02      L2 =  4.284
#****** 2th=  0.21   EFIXED=  0.000      EMODE= 0
# Bin no.        x             y             e
    112  5.850004    -0.9959088E-01 0.1375578E-02
    113  5.900004    -0.1393246     0.1434034E-02
    114  5.950005    -0.1713357     0.1496630E-02
    115  6.000005    -0.1986591     0.1563839E-02
    116  6.050005    -0.2206574     0.1624011E-02
    117  6.100005    -0.2368875     0.1679211E-02
    118  6.150005    -0.2495807     0.1719740E-02
    119  6.200006    -0.2608425     0.1762147E-02
    120  6.250006    -0.2696749     0.1793349E-02
    121  6.300006    -0.2749235     0.1815725E-02
    122  6.350006    -0.2805247     0.1845801E-02
    123  6.400006    -0.2843308     0.1863463E-02
    124  6.450006    -0.2882120     0.1888599E-02
    125  6.500007    -0.2908532     0.1906128E-02
    126  6.550007    -0.2920834     0.1914694E-02
    127  6.600007    -0.2933915     0.1928862E-02
    128  6.650007    -0.2956257     0.1945638E-02
    129  6.700007    -0.2963697     0.1955424E-02
    130  6.750008    -0.2956500     0.1960619E-02
    131  6.800008    -0.2938705     0.1968512E-02
    132  6.850008    -0.2907485     0.1966177E-02
    133  6.900008    -0.2852456     0.1957545E-02
    134  6.950008    -0.2790686     0.1945771E-02
    135  7.000009    -0.2698872     0.1920801E-02
    136  7.050009    -0.2567578     0.1894790E-02
    137  7.100009    -0.2413167     0.1853041E-02
    138  7.150009    -0.2226194     0.1809520E-02
    139  7.200009    -0.2027069     0.1766236E-02
    140  7.250010    -0.1760398     0.1710427E-02
    141  7.300010    -0.1460170     0.1655773E-02
    142  7.350010    -0.1118855     0.1611751E-02
    143  7.400010    -0.7476662E-01 0.1582738E-02
    144  7.450010    -0.3509251E-01 0.1577545E-02
    145  7.500010     0.4594686E-02 0.1598648E-02
    146  7.550011     0.4576774E-01 0.1650193E-02
    147  7.600011     0.8590564E-01 0.1726259E-02
    148  7.650011     0.1241900     0.1819741E-02
    149  7.700011     0.1564112     0.1915241E-02
    150  7.750011     0.1851978     0.2007624E-02
    151  7.800012     0.2061489     0.2083957E-02
    152  7.850012     0.2216358     0.2147234E-02
    153  7.900012     0.2311145     0.2190212E-02
    154  7.950012     0.2304300     0.2193796E-02
    155  8.000012     0.2246369     0.2184687E-02
    156  8.050013     0.2140421     0.2155117E-02
    157  8.100013     0.2004233     0.2114323E-02
    158  8.150013     0.1801610     0.2056123E-02
    159  8.200013     0.1600193     0.2003362E-02
    160  8.250013     0.1413195     0.1955834E-02
    161  8.300014     0.1229123     0.1916034E-02
    162  8.350014     0.1040047     0.1877483E-02
    163  8.400014     0.8533107E-01 0.1845211E-02
    164  8.450014     0.6761295E-01 0.1817699E-02
    165  8.500014     0.5318306E-01 0.1801083E-02
    166  8.550014     0.4046129E-01 0.1788967E-02
    167  8.600015     0.3180517E-01 0.1787322E-02
    168  8.650015     0.2242228E-01 0.1781581E-02
    169  8.700015     0.1458024E-01 0.1781512E-02
    170  8.750015     0.8280397E-02 0.1784814E-02
    171  8.800015     0.4769187E-02 0.1787709E-02
    172  8.850016     0.2291490E-02 0.1792629E-02
    173  8.900016     0.1650503E-02 0.1802193E-02
    174  8.950016     0.4450344E-03 0.1808048E-02
    175  9.000016    -0.4520054E-03 0.1813727E-02
    176  9.050016    -0.7281060E-03 0.1820146E-02
    177  9.100017    -0.1135142E-02 0.1827236E-02
    178  9.150017     0.1357742E-02 0.1838000E-02
    179  9.200017     0.4785593E-02 0.1846467E-02
    180  9.250017     0.8315441E-02 0.1855831E-02
    181  9.300017     0.1040549E-01 0.1864489E-02
    182  9.350018     0.1305863E-01 0.1874880E-02
    183  9.400018     0.1585277E-01 0.1886279E-02
    184  9.450018     0.2098100E-01 0.1897491E-02
    185  9.500018     0.2320015E-01 0.1906844E-02
    186  9.550018     0.2587165E-01 0.1918815E-02
